ID,日付,昨年実績 ,日割予算,売上実績,取置計,顧客計,客数計
12,2008-1-1,2206000,2000000,1222400,0,0,117
12,2008-1-2,1269500,1200000,945800,0,0,77
12,2008-1-3,761900,700000,661100,0,0,39
12,2008-1-4,408700,500000,509100,0,0,44
12,2008-1-5,402100,500000,485700,0,0,34
12,2008-1-6,335500,450000,279300,0,0,25
12,2008-1-7,589300,300000,77700,0,0,11
12,2008-1-8,466700,300000,245900,0,0,19
12,2008-1-9,180100,300000,323800,0,0,21
12,2008-1-10,212700,250000,255600,0,0,20
12,2008-1-11,211200,250000,215100,0,1,19
12,2008-1-12,306700,450000,205200,0,0,24
12,2008-1-13,483000,450000,499700,0,0,41
12,2008-1-14,492700,400000,265200,0,0,21
12,2008-1-15,152200,200000,204200,0,0,18
12,2008-1-16,204800,200000,132500,0,0,14
12,2008-1-17,342800,200000,174900,0,0,17
12,2008-1-18,189100,200000,171000,0,0,17
12,2008-1-19,310300,350000,290800,0,0,23
12,2008-1-20,368800,350000,296200,0,0,26
12,2008-1-21,273900,200000,250700,0,0,18
12,2008-1-22,260600,200000,177600,0,0,18
12,2008-1-23,250000,200000,230300,0,0,15
12,2008-1-24,270800,200000,111800,0,0,7
12,2008-1-25,123400,200000,154000,0,2,15
12,2008-1-26,386700,350000,267400,0,0,21
12,2008-1-27,564300,300000,394600,0,0,25
12,2008-1-28,141200,200000,161900,0,0,14
12,2008-1-29,262800,200000,117400,0,0,10
12,2008-1-30,307000,200000,169200,0,0,12
12,2008-1-31,318500,200000,251300,0,0,17
23,2008-1-1,0,0,0,0,0,0
23,2008-1-2,0,1200000,1175670,16000,0,60
23,2008-1-3,0,600000,438350,74500,0,26
23,2008-1-4,0,500000,473900,0,0,23
23,2008-1-5,0,400000,351460,0,1,13
23,2008-1-6,0,450000,286110,65000,2,11
23,2008-1-7,0,150000,300990,0,1,13
23,2008-1-8,0,150000,100460,0,0,6
23,2008-1-9,0,150000,100720,0,1,5
23,2008-1-10,0,150000,69500,54000,0,3
23,2008-1-11,0,150000,167620,0,1,5
23,2008-1-12,0,170000,79550,15500,1,8
23,2008-1-13,0,250000,93550,73440,0,9
23,2008-1-14,0,200000,103490,0,0,6
23,2008-1-15,0,100000,92150,0,1,5
23,2008-1-16,0,100000,3040,29400,0,1
23,2008-1-17,0,100000,213140,0,1,6
23,2008-1-18,0,150000,1920,0,0,2
23,2008-1-19,0,180000,107600,0,2,7
23,2008-1-20,0,200000,84800,0,1,3
23,2008-1-21,0,120000,70860,0,1,3
23,2008-1-22,0,120000,20860,0,0,2
23,2008-1-23,0,120000,43600,118000,1,3
23,2008-1-24,0,120000,3040,0,0,1
23,2008-1-25,0,120000,120670,0,0,3
23,2008-1-26,0,150000,152300,29500,1,5
23,2008-1-27,0,500000,316640,59000,1,10
23,2008-1-28,0,100000,77800,35000,2,3
23,2008-1-29,0,100000,214400,120000,1,2
23,2008-1-30,0,100000,48000,0,1,1
23,2008-1-31,0,100000,12800,0,0,1
14,2008-1-1,0,0,0,0,0,0
14,2008-1-2,1151600,900000,1093300,0,0,106
14,2008-1-3,804500,700000,509700,0,1,45
14,2008-1-4,1029100,1200000,1222300,0,0,99
14,2008-1-5,663900,1000000,839000,0,0,80
14,2008-1-6,562300,650000,488100,0,0,46
14,2008-1-7,507800,450000,504900,0,0,47
14,2008-1-8,400200,450000,418600,0,0,38
14,2008-1-9,402700,450000,315300,0,0,29
14,2008-1-10,385500,450000,320100,0,0,36
14,2008-1-11,354100,450000,356800,0,1,36
14,2008-1-12,388600,450000,340600,9000,2,35
14,2008-1-13,544200,450000,487200,0,0,50
14,2008-1-14,311800,400000,406800,0,0,43
14,2008-1-15,122100,200000,311700,27600,0,19
14,2008-1-16,128300,200000,284900,0,2,16
14,2008-1-17,213600,200000,195000,0,0,21
14,2008-1-18,350900,200000,266500,0,0,18
14,2008-1-19,294700,300000,185500,0,0,17
14,2008-1-20,278600,300000,243400,0,1,26
14,2008-1-21,140000,200000,141000,10800,0,18
14,2008-1-22,203000,200000,257400,0,0,24
14,2008-1-23,162300,200000,153200,0,0,17
14,2008-1-24,100000,200000,203400,0,0,22
14,2008-1-25,274800,200000,174900,0,0,15
14,2008-1-26,235200,250000,288100,0,0,26
14,2008-1-27,250800,250000,262400,0,1,25
14,2008-1-28,108600,150000,131000,0,0,13
14,2008-1-29,103900,150000,237400,0,1,20
14,2008-1-30,124700,150000,155300,0,0,23
14,2008-1-31,81300,150000,262900,0,0,28
